segment	word	token.code	dur	step	stepSize	start.time	end.time	jitter	shimmer	hnr	f1	f2	f3	H1Hz	H2Hz	H1-H2	H1dB	H2dB	H1-A1	A1dB	H1-A2	A2dB	H1-A3	A3dB	pitch.range.min	pitch.range.max	prec.seg	next.seg	prec.seg.wd	next.seg.wd	speaker
IS0	tijb7ij	S02-chunked_tukur-141-7-16	180	1	0.09	3.37	3.46	0.0163	0.0857	19.8321	446.749	1900.674	2789.522	133.526	267.052	-6.0721	47.4793	53.5805	1.4368	46.036	22.8171	24.5845	23.6696	23.73	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tukur-141-7-16	180	2	0.09	3.46	3.55	0.0209	0.0857	22.873	344.48	1955.679	2793.329	125.426	250.851	0.0213	52.8481	52.8266	2.7819	50.0441	21.8268	30.8808	23.5331	29.1667	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tukur-141-7-19	510	1	0.255	4.25	4.505	NA	0.0857	NA	1122.036	3408.335	3742.321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tukur-141-7-19	510	2	0.255	4.505	4.76	NA	0.0857	NA	1141.513	3757.847	3809.957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tuq-142-2-3	30	1	0.015	0.51	0.525	NA	0.085	NA	672.876	1727.853	2724.923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tuq-142-2-3	30	2	0.015	0.525	0.54	NA	0.085	NA	579.126	1785.013	3044.089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tuq-142-3-6	160	1	0.08	0.94	1.02	0.0151	0.085	18.6561	488.65	1727.468	2777.938	194.493	388.986	-3.1779	55.6666	58.8591	8.0977	47.5354	8.7158	46.915	21.3568	34.2331	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tuq-142-3-6	160	2	0.08	1.02	1.1	0.0156	0.085	25.3894	461.8	1920.033	2379.036	208.447	416.894	-7.5742	52.3315	59.9432	-7.5742	59.9432	0.5285	51.8005	14.244	38.0309	97.835	370.818	T	KG	T	KG	S02
US1	tuq	S02-chunked_tuq-142-4-9	91.58	1	0.04579	1.664	1.71	0.0097	0.085	16.579	396.13	1226.928	2843.814	220.328	440.656	2.5078	64.138	61.6114	2.5078	61.6114	21.3738	42.6288	37.6631	26.2736	97.835	370.818	T	QA	T	QA	S02
US1	tuq	S02-chunked_tuq-142-4-9	91.58	2	0.04579	1.71	1.755	0.0105	0.085	21.2039	395.99	927.249	2916.088	234.079	468.158	2.2776	61.2667	58.9718	11.1209	50.0681	12.34	48.8415	38.9582	22.1061	97.835	370.818	T	QA	T	QA	S02
IS0	tijb7ij	S02-chunked_tuq-142-6-13	140	1	0.07	2.36	2.43	0.018	0.085	12.109	416.474	1733.507	2661.454	188.791	377.582	-8.4074	49.1557	57.6124	-3.6667	52.8429	21.4899	27.5758	18.7394	30.3349	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tuq-142-6-13	140	2	0.07	2.43	2.5	0.0134	0.085	21.9065	369.848	1856.602	2712.263	199.616	399.231	-4.8136	56.4257	61.2782	4.4911	51.9013	15.7437	40.5779	21.9199	34.3704	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tuq-142-6-16	510	1	0.255	2.96	3.215	NA	0.085	NA	1042.617	3381.519	3661.914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tuq-142-6-16	510	2	0.255	3.215	3.47	NA	0.085	NA	1138.787	3758.86	3810.327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tuuj-143-2-3	40	1	0.02	0.51	0.53	NA	0.0718	NA	787.883	2152.792	3335.858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tuuj-143-2-3	40	2	0.02	0.53	0.55	NA	0.0718	NA	682.394	1597.859	3165.017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tuuj-143-3-6	200	1	0.1	1	1.1	0.0115	0.0718	22.1505	484.2	1842.935	2871.722	180.648	361.297	-2.3429	59.6308	61.9855	0.5738	59.0542	13.1696	46.4036	26.858	32.6708	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tuuj-143-3-6	200	2	0.1	1.1	1.2	0.018	0.0718	24.6679	453.532	1958.722	2418.205	205.779	411.559	-6.4233	55.1923	61.6507	-6.4233	61.6507	9.5803	45.5671	13.5501	41.5812	97.835	370.818	T	KG	T	KG	S02
UL1	tuuj	S02-chunked_tuuj-143-4-9	219.47	1	0.10974	1.651	1.76	0.0081	0.0718	19.8134	314.462	1000.554	2805.604	173.364	346.728	2.4132	61.3613	58.9253	9.8898	51.3842	26.3585	34.8051	37.668	23.4447	97.835	370.818	T	H	T	H	S02
UL1	tuuj	S02-chunked_tuuj-143-4-9	219.47	2	0.10974	1.76	1.87	0.0089	0.0718	26.4707	346.079	955.106	2788.741	191.354	382.708	-0.4661	58.4298	58.8997	-0.4661	58.8997	12.9352	45.4026	34.3691	23.8677	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tuuj-143-6-13	190	1	0.095	2.34	2.435	0.0126	0.0718	13.3585	426.182	2000.108	2941.2	190.597	381.194	-8.6845	49.0205	57.7533	-5.3999	54.4494	16.5899	32.3608	17.8064	31.1403	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tuuj-143-6-13	190	2	0.095	2.435	2.53	0.0105	0.0718	17.3002	379.641	1845.228	2862.204	212.906	425.813	-0.0384	59.1181	59.1568	13.3365	45.6902	16.88	42.1265	23.6944	35.278	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tuuj-143-6-16	440	1	0.22	2.99	3.21	NA	0.0718	NA	916.719	2833.596	3653.175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tuuj-143-6-16	440	2	0.22	3.21	3.43	NA	0.0718	NA	1015.942	1953.496	3772.502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tuun-144-2-3	30	1	0.015	0.51	0.525	NA	0.0777	NA	793.844	1947.396	3060.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tuun-144-2-3	30	2	0.015	0.525	0.54	NA	0.0777	NA	1040.276	2050.139	3320.239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tuun-144-3-6	170	1	0.085	0.88	0.965	0.0217	0.0777	19.9691	475.455	1788.036	2817.001	204.324	408.647	-4.343	58.5892	62.9544	9.0032	49.5452	13.9769	44.5519	24.9472	33.5459	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tuun-144-3-6	170	2	0.085	0.965	1.05	0.0138	0.0777	23.3663	473.86	1944.422	2446.472	228.93	457.861	-8.9561	54.4179	63.4185	-8.9561	63.4185	6.1693	48.222	9.953	44.4236	97.835	370.818	T	KG	T	KG	S02
UL1	tuun	S02-chunked_tuun-144-4-9	163.68	1	0.08184	1.367	1.449	0.0065	0.0777	19.5444	333.787	1026.992	2776.407	172.593	345.187	-1.514	60.3652	61.8955	-1.514	61.8955	24.0381	36.1253	34.6893	25.4179	97.835	370.818	T	N	T	N	S02
UL1	tuun	S02-chunked_tuun-144-4-9	163.68	2	0.08184	1.449	1.53	0.0061	0.0777	25.6308	376.102	1160.821	2761.114	190.224	380.448	-3.9191	58.2776	62.2295	-3.9191	62.2295	17.9089	40.247	32.3399	25.751	97.835	370.818	T	N	T	N	S02
IS0	tijb7ij	S02-chunked_tuun-144-5-12	170	1	0.085	1.93	2.015	0.0197	0.0777	19.0769	464.488	1787.342	2686.49	210.365	420.73	-3.3796	49.3436	52.7386	-3.3796	52.7386	26.2207	23.0382	25.3807	23.8799	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tuun-144-5-12	170	2	0.085	2.015	2.1	0.0317	0.0777	12.2935	372.3	1872.592	2840.334	241.425	482.849	3.5268	56.3983	52.8454	25.7814	30.4659	20.8284	35.4407	23.7121	32.5439	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tuun-144-5-15	500	1	0.25	2.34	2.59	NA	0.0777	NA	1166.68	3477.25	3773.921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tuun-144-5-15	500	2	0.25	2.59	2.84	NA	0.0777	NA	1135.276	3759.105	3811.116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tzaa-145-2-3	40	1	0.02	0.51	0.53	NA	0.0765	NA	1159.104	2257.175	3513.604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tzaa-145-2-3	40	2	0.02	0.53	0.55	NA	0.0765	NA	1163.696	2233.437	3814.486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tzaa-145-3-6	190	1	0.095	1.28	1.375	0.0128	0.0765	21.4634	498.782	1798.009	2780.225	184.696	369.391	-1.8652	56.4435	58.3172	8.0116	48.3988	11.3929	45.0051	22.1164	34.2483	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tzaa-145-3-6	190	2	0.095	1.375	1.47	0.0177	0.0765	22.6454	453.595	1936.348	2451.486	206.264	412.528	-6.3329	53.0046	59.3708	-6.3329	59.3708	7.0285	45.9436	13.1492	39.7984	97.835	370.818	T	KG	T	KG	S02
AL1	tzaa	S02-chunked_tzaa-145-5-10	254.65	1	0.12732	2.13	2.258	0.0087	0.0765	25.648	753.866	1355.124	3155.277	139.834	279.668	3.3336	58.0322	54.6907	-3.3489	61.3896	3.8773	54.1457	30.4128	27.5645	97.835	370.818	TS	T	TS	NA	S02
AL1	tzaa	S02-chunked_tzaa-145-5-10	254.65	2	0.12732	2.258	2.385	0.0122	0.0765	25.4313	825.1	1413.949	3241.682	149.824	299.649	3.1271	54.696	51.5629	-7.6615	62.3739	-0.5049	55.202	24.5977	30.0604	97.835	370.818	TS	T	TS	NA	S02
IS0	tijb7ij	S02-chunked_tzaa-145-6-12	150	1	0.075	2.71	2.785	0.0526	0.0765	14.0424	439.623	1656.388	2809.509	160.014	320.028	-0.2335	45.562	45.7965	3.006	42.5432	22.3124	23.1754	23.8494	21.6351	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tzaa-145-6-12	150	2	0.075	2.785	2.86	0.019	0.0765	15.9283	357.895	1938.297	2830.654	194.232	388.465	-0.9513	52.7215	53.6799	-0.9513	53.6799	15.6726	36.9512	25.9086	26.6703	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tzaa-145-6-15	510	1	0.255	3.29	3.545	NA	0.0765	NA	1010.421	3291.042	3607.174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tzaa-145-6-15	510	2	0.255	3.545	3.8	NA	0.0765	NA	1142.905	3757.44	3809.585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tzaam-146-2-3	40	1	0.02	0.51	0.53	NA	0.0905	NA	1147.076	2271.722	3324.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tzaam-146-2-3	40	2	0.02	0.53	0.55	NA	0.0905	NA	1126.247	1749.335	2995.742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tzaam-146-3-6	150	1	0.075	0.97	1.045	0.0193	0.0905	12.5549	461.901	1715.142	2754.247	166.489	332.979	0.7235	57.7242	56.9969	-5.2625	63.016	14.8855	42.7704	25.4132	32.2068	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tzaam-146-3-6	150	2	0.075	1.045	1.12	0.0135	0.0905	18.7943	442.05	1922.689	2448.877	189.899	379.798	-5.0967	52.9221	58.0467	2.9809	49.9261	7.0135	45.8744	22.5016	30.3286	97.835	370.818	T	KG	T	KG	S02
AL1	tzaam	S02-chunked_tzaam-146-4-9	168.99	1	0.08449	1.495	1.579	0.0229	0.0905	18.7444	707.176	1415.046	3122.547	132.869	265.737	3.3723	53.6885	50.3082	1.6887	51.9957	5.8083	47.8667	25.6653	27.9753	97.835	370.818	TS	M	TS	M	S02
AL1	tzaam	S02-chunked_tzaam-146-4-9	168.99	2	0.08449	1.579	1.664	0.0095	0.0905	27.0739	709.915	1277.731	3538.638	126.056	252.112	-0.4295	51.9371	52.3676	0.939	50.9958	5.0549	46.8704	24.8766	27.0143	97.835	370.818	TS	M	TS	M	S02
IS0	tijb7ij	S02-chunked_tzaam-146-5-12	140	1	0.07	2.04	2.11	0.0687	0.0905	9.1217	437.525	1597.914	2709.319	151.669	303.339	-0.6231	47.0591	47.6852	-1.1154	48.1799	23.8278	23.1467	25.6536	21.3169	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tzaam-146-5-12	140	2	0.07	2.11	2.18	0.0132	0.0905	20.6317	341.327	1800.225	2883.299	178.74	357.479	-1.1638	52.2012	53.3749	-1.1638	53.3749	17.7846	34.2936	23.0414	29.0104	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tzaam-146-5-15	510	1	0.255	2.56	2.815	NA	0.0905	NA	1025.644	2018.934	3673.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tzaam-146-5-15	510	2	0.255	2.815	3.07	NA	0.0905	NA	1077.544	3427.806	3811.643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tziij-147-2-3	30	1	0.015	0.51	0.525	NA	0.0835	NA	723.126	1622.322	2836.053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tziij-147-2-3	30	2	0.015	0.525	0.54	NA	0.0835	NA	601.829	1363.049	2820.277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tziij-147-3-6	180	1	0.09	0.92	1.01	0.0116	0.0835	18.2366	487.831	1772.764	2922.755	194.32	388.639	-1.0955	59.1263	60.2271	13.7144	45.3537	12.6694	46.4026	24.655	34.3778	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tziij-147-3-6	180	2	0.09	1.01	1.1	0.0176	0.0835	24.9333	473.062	1985.377	2487.98	215.662	431.324	-8.4801	54.7235	63.2466	10.1981	44.4823	2.9453	51.7648	12.5435	42.1282	97.835	370.818	T	KG	T	KG	S02
IL1	tziij	S02-chunked_tziij-147-5-10	153.24	1	0.07662	1.76	1.837	0.0142	0.0835	14.5424	309.815	2142.906	2721.075	169.594	339.187	3.0095	61.5926	58.5476	4.9232	56.6124	24.9303	36.4259	27.2833	34.0571	97.835	370.818	TS	H	TS	H	S02
IL1	tziij	S02-chunked_tziij-147-5-10	153.24	2	0.07662	1.837	1.913	0.005	0.0835	25.239	362.505	2093.541	2711.465	185.385	370.77	-3.2746	58.6698	61.9728	-3.2746	61.9728	21.4556	37.0684	20.0621	38.4692	97.835	370.818	TS	H	TS	H	S02
IS0	tijb7ij	S02-chunked_tziij-147-7-14	180	1	0.09	2.27	2.36	0.0995	0.0835	9.2112	516.989	2019.249	2943.754	179.028	358.057	-1.5539	42.7295	44.288	3.6962	39.023	13.6651	29.0311	18.9948	23.6919	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tziij-147-7-14	180	2	0.09	2.36	2.45	0.0091	0.0835	23.4436	413.1	1871.498	2754.308	230.051	460.103	2.6712	58.9992	56.3124	8.1663	50.7875	18.6313	40.2745	23.2138	35.6745	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tziij-147-7-17	500	1	0.25	2.74	2.99	NA	0.0835	NA	1083.976	3359.456	3661.452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tziij-147-7-17	500	2	0.25	2.99	3.24	NA	0.0835	NA	1129.058	3760.726	3812.348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tzojtzoj-148-2-3	30	1	0.015	0.51	0.525	NA	0.0809	NA	1670.152	3022.246	3986.692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tzojtzoj-148-2-3	30	2	0.015	0.525	0.54	NA	0.0809	NA	945.067	2109.465	3388.945	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tzojtzoj-148-3-6	210	1	0.105	0.86	0.965	0.0128	0.0809	19.4461	496.1	1811.713	2997.131	195.813	391.627	-3.6777	54.4377	58.1314	7.2085	47.201	7.2745	47.1348	21.9624	32.4021	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tzojtzoj-148-3-6	210	2	0.105	0.965	1.07	0.0185	0.0809	26.0514	475.625	1981.009	2535.25	226.862	453.724	-6.7052	53.5475	60.2844	-6.7052	60.2844	6.5884	46.9318	10.7548	42.7499	97.835	370.818	T	KG	T	KG	S02
OS0	tzojtzoj	S02-chunked_tzojtzoj-148-4-9	74.79	1	0.03739	1.625	1.663	0.005	0.0809	14.5779	471.489	1179.291	2963.759	149.962	299.924	1.1552	56.9294	55.7681	1.3464	55.5759	10.2645	46.6156	33.0983	23.7079	97.835	370.818	TS	H	TS	H	S02
OS0	tzojtzoj	S02-chunked_tzojtzoj-148-4-9	74.79	2	0.03739	1.663	1.7	0.0219	0.0809	19.0443	511.388	1044.51	2863.782	143.984	287.968	0.207	54.1601	53.9521	-0.4354	54.5975	8.381	45.7437	31.2348	22.8239	97.835	370.818	TS	H	TS	H	S02
OS1	tzojtzoj	S02-chunked_tzojtzoj-148-4-12	105.02	1	0.05251	1.917	1.97	0.0107	0.0809	16.7485	525.022	1182.644	2974.145	191.96	383.919	0.2166	56.9584	56.7408	-5.0752	62.0572	7.4797	49.4476	27.1113	29.7555	97.835	370.818	TS	H	TS	H	S02
OS1	tzojtzoj	S02-chunked_tzojtzoj-148-4-12	105.02	2	0.05251	1.97	2.022	0.0121	0.0809	20.9959	568.24	1114.42	2863.865	189.216	378.432	3.2031	56.1245	52.9091	-5.6071	61.755	2.9026	53.2107	29.5108	26.5279	97.835	370.818	TS	H	TS	H	S02
IS0	tijb7ij	S02-chunked_tzojtzoj-148-6-16	150	1	0.075	2.43	2.505	0.0803	0.0809	15.4855	410.898	1921.15	2629.495	207.527	415.054	-6.8291	50.7235	57.5943	-6.8291	57.5943	16.3828	34.2626	20.321	30.3102	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tzojtzoj-148-6-16	150	2	0.075	2.505	2.58	0.0215	0.0809	21.1209	428.228	1916.614	2890.495	212.801	425.602	-4.1485	56.5097	60.6836	-4.1485	60.6836	17.6715	38.751	25.4913	30.9032	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tzojtzoj-148-6-19	490	1	0.245	2.85	3.095	NA	0.0809	NA	1047.366	3405.25	3668.268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tzojtzoj-148-6-19	490	2	0.245	3.095	3.34	NA	0.0809	NA	1112.613	3765.154	3815.361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_tzuu-149-2-3	30	1	0.015	0.51	0.525	NA	0.0725	NA	574.927	1735.004	2834.309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_tzuu-149-2-3	30	2	0.015	0.525	0.54	NA	0.0725	NA	314.096	1826.261	3207.959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_tzuu-149-3-6	170	1	0.085	0.84	0.925	0.0162	0.0725	16.7761	502.155	1780.789	2869.867	194.866	389.732	-3.1024	54.371	57.4866	6.7042	47.6408	9.2897	45.0463	21.7786	32.5207	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_tzuu-149-3-6	170	2	0.085	0.925	1.01	0.0131	0.0725	20.4514	469.708	2004.47	2493.285	217.789	435.579	-8.4015	52.1636	60.6055	6.1835	45.9543	2.1367	50.0177	10.2721	41.8506	97.835	370.818	T	KG	T	KG	S02
UL1	tzuu	S02-chunked_tzuu-149-4-9	280	1	0.14	1.34	1.48	0.0073	0.0725	28.0415	379.264	1089.821	2749.484	197.259	394.519	4.6946	60.1773	55.4467	6.2033	53.9271	19.1152	40.9347	34.8243	25.1578	97.835	370.818	TS	T	TS	NA	S02
UL1	tzuu	S02-chunked_tzuu-149-4-9	280	2	0.14	1.48	1.62	0.0053	0.0725	26.7943	365.376	1128.445	2713.574	199.47	398.939	-0.4589	53.3691	53.8314	9.4883	43.8167	23.1536	30.0818	38.296	14.8926	97.835	370.818	TS	T	TS	NA	S02
IS0	tijb7ij	S02-chunked_tzuu-149-5-11	180	1	0.09	1.88	1.97	0.063	0.0725	16.0534	435.566	1733.55	2591.026	200.468	400.936	-1.968	50.0657	52.0439	-1.968	52.0439	26.219	23.7485	20.4625	29.5205	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_tzuu-149-5-11	180	2	0.09	1.97	2.06	0.0063	0.0725	25.8016	394.071	1941.21	2750.834	232.2	464.399	1.8943	56.8918	54.9845	15.4148	41.3849	16.9862	39.8057	24.0702	32.6909	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_tzuu-149-5-14	500	1	0.25	2.23	2.48	NA	0.0725	NA	1112.348	2815.167	3761.045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_tzuu-149-5-14	500	2	0.25	2.48	2.73	NA	0.0725	NA	1023.451	2045.439	3775.185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_usum-150-2-3	30	1	0.015	0.51	0.525	NA	0.0894	NA	755.33	1903.173	2888.003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_usum-150-2-3	30	2	0.015	0.525	0.54	NA	0.0894	NA	610.697	1918.021	3116.855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_usum-150-3-6	180	1	0.09	0.88	0.97	0.0113	0.0894	19.1568	498.127	1804.042	2810.861	198.083	396.167	-3.69	54.3352	58.0414	10.0626	44.234	8.3298	45.9729	18.363	35.9078	97.835	370.818	T	KG	T	KG	S02
ES1	tek7	S02-chunked_usum-150-3-6	180	2	0.09	0.97	1.06	0.0076	0.0894	23.7127	481.462	1890.764	2486.361	224.558	449.116	-8.1762	51.8009	60.0151	-4.127	55.9464	7.5956	44.1751	14.2264	37.522	97.835	370.818	T	KG	T	KG	S02
US0	usum	S02-chunked_usum-150-4-9	87.05	1	0.04353	1.266	1.31	0.0739	0.0894	10.0661	377.064	1027.214	2793.585	147.614	295.228	-3.1026	47.8294	50.954	-3.662	51.5175	15.8978	31.8411	31.6308	16.0547	97.835	370.818	GS	S	GS	S	S02
US0	usum	S02-chunked_usum-150-4-9	87.05	2	0.04353	1.31	1.354	0.0238	0.0894	16.3369	360.443	1211.746	2843.741	148.041	296.082	-0.8027	56.0626	56.8722	11.3723	44.6039	17.9267	38.0089	33.2469	22.6195	97.835	370.818	GS	S	GS	S	S02
US1	usum	S02-chunked_usum-150-4-11	88.07	1	0.04403	1.51	1.554	0.0132	0.0894	20.4467	393.494	1134.505	2952.759	195.915	391.83	-2.3344	59.6473	61.9993	-2.3344	61.9993	12.6301	46.9341	26.0674	33.4306	97.835	370.818	S	M	S	M	S02
US1	usum	S02-chunked_usum-150-4-11	88.07	2	0.04403	1.554	1.598	0.004	0.0894	25.2762	401.74	1017.124	2926.167	203.707	407.413	-5.0717	60.9039	66.0153	-5.0717	66.0153	10.1209	50.7136	27.1301	33.6169	97.835	370.818	S	M	S	M	S02
IS0	tijb7ij	S02-chunked_usum-150-5-14	120	1	0.06	2.03	2.09	0.0375	0.0894	22.9132	402.097	1734.395	2641.523	190.671	381.343	-6.8877	51.8719	58.8048	-3.6383	55.5333	15.7124	36.0782	16.3754	35.4124	97.835	370.818	T	H	T	H	S02
IS0	tijb7ij	S02-chunked_usum-150-5-14	120	2	0.06	2.09	2.15	0.0136	0.0894	22.3804	372.745	1791.837	2750.44	192.708	385.415	-2.7684	54.9543	57.744	-0.6139	55.5728	12.8101	42.06	21.0928	33.735	97.835	370.818	T	H	T	H	S02
IS1	tijb7ij	S02-chunked_usum-150-5-17	510	1	0.255	2.54	2.795	NA	0.0894	NA	887.771	2032.246	3587.783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
IS1	tijb7ij	S02-chunked_usum-150-5-17	510	2	0.255	2.795	3.05	NA	0.0894	NA	1092.118	3767.902	3819.238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	BG	H	BG	H	S02
AS1	yaj	S02-chunked_utiw-151-2-3	30	1	0.015	0.51	0.525	NA	0.0812	NA	639.981	1440.371	2740.409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
AS1	yaj	S02-chunked_utiw-151-2-3	30	2	0.015	0.525	0.54	NA	0.0812	NA	500.374	1773.768	2720.422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.835	370.818	Y	H	Y	H	S02
ES1	tek7	S02-chunked_utiw-151-3-6	180	1	0.09	0.92	1.01	0.0286	0.0812	19.0541	488.291	1807.268	2855.353	194.445	388.89	-2.9508	56.9797	59.9444	5.9055	51.0488	10.9238	46.0111	23.7351	33.1595	97.835	370.818	T	KG	T	KG	S02
