file,label,group,color,number
CM-subject2_list1_sent27_0001.wav,0atj1,10,Black,100
CM-subject2_list1_sent3_0001.wav,watw1,11,Black,101
CM-subject2_list1_sent31_0001.wav,jukw1,12,Black,102
CM-subject2_list1_sent32_0001.wav,jidj1,13,Black,103
CM-subject2_list1_sent33_0001.wav,wabj1,14,Black,104
CM-subject2_list1_sent35_0001.wav,wabw1,15,Black,105
CM-subject2_list1_sent36_0001.wav,jikj1,16,Black,106
CM-subject2_list1_sent5_0001.wav,wudj1,17,Black,107
CM-subject2_list1_sent8_0001.wav,wubj1,18,Black,108
CM-subject2_list2_sent11_0001.wav,jibj2,19,Black,109
CM-subject2_list2_sent12_0001.wav,0idw2,20,Black,110
CM-subject2_list2_sent15_0001.wav,wubw2,21,Black,111
CM-subject2_list2_sent17_0001.wav,0ikw2,22,Black,112
CM-subject2_list2_sent2_0001.wav,jibw2,23,Black,113
CM-subject2_list2_sent20_0001.wav,wagw2,24,Black,114
CM-subject2_list2_sent21_0001.wav,0udw2,25,Black,115
CM-subject2_list2_sent22_0001.wav,wagj2,26,Black,116
CM-subject2_list2_sent23_0001.wav,wukj2,27,Black,117
CM-subject2_list2_sent27_0001.wav,0atj2,28,Black,118
CM-subject2_list2_sent3_0001.wav,watw2,29,Black,119
CM-subject2_list2_sent31_0001.wav,jukw2,30,Black,120
CM-subject2_list2_sent32_0001.wav,jidj2,31,Black,121
CM-subject2_list2_sent33_0001.wav,wabj2,32,Black,122
CM-subject2_list2_sent35_0001.wav,wabw2,33,Black,123
CM-subject2_list2_sent36_0001.wav,jikj2,34,Black,124
CM-subject2_list2_sent5_0001.wav,wudj2,35,Black,125
CM-subject2_list2_sent8_0001.wav,wubj2,36,Black,126
CM-subject2_list3_sent11_0001.wav,jibj3,37,Black,127
CM-subject2_list3_sent12_0001.wav,0idw3,38,Black,128
CM-subject2_list3_sent15_0001.wav,wubw3,39,Black,129
CM-subject2_list3_sent17_0001.wav,0ikw3,40,Black,130
CM-subject2_list3_sent2_0001.wav,jibw3,41,Black,131
CM-subject2_list3_sent20_0001.wav,wagw3,42,Black,132
CM-subject2_list3_sent21_0001.wav,0udw3,43,Black,133
CM-subject2_list3_sent22_0001.wav,wagj3,44,Black,134
CM-subject2_list3_sent23_0001.wav,wukj3,45,Black,135
CM-subject2_list3_sent27_0001.wav,0atj3,46,Black,136
CM-subject2_list3_sent3_0001.wav,watw3,47,Black,137
CM-subject2_list3_sent31_0001.wav,jukw3,48,Black,138
CM-subject2_list3_sent32_0001.wav,jidj3,49,Black,139
CM-subject2_list3_sent33_0001.wav,wabj3,50,Black,140
CM-subject2_list3_sent35_0001.wav,wabw3,51,Black,141
CM-subject2_list3_sent36_0001.wav,jikj3,52,Black,142
CM-subject2_list3_sent5_0001.wav,wudj3,53,Black,143
CM-subject2_list3_sent8_0001.wav,wubj3,54,Black,144
CM-subject2_list4_sent11_0001.wav,jibj4,55,Black,145
CM-subject2_list4_sent12_0001.wav,0idw4,56,Black,146
CM-subject2_list4_sent15_0001.wav,wubw4,57,Black,147
CM-subject2_list4_sent17_0001.wav,0ikw4,58,Black,148
CM-subject2_list4_sent2_0001.wav,jibw4,59,Black,149
CM-subject2_list4_sent20_0001.wav,wagw4,60,Black,150
CM-subject2_list4_sent21_0001.wav,0udw4,61,Black,151
CM-subject2_list4_sent22_0001.wav,wagj4,62,Black,152
CM-subject2_list4_sent23_0001.wav,wukj4,63,Black,153
CM-subject2_list4_sent27_0001.wav,0atj4,64,Black,154
CM-subject2_list4_sent3_0001.wav,watw4,65,Black,155
CM-subject2_list4_sent31_0001.wav,jukw4,66,Black,156
CM-subject2_list4_sent32_0001.wav,jidj4,67,Black,157
CM-subject2_list4_sent33_0001.wav,wabj4,68,Black,158
CM-subject2_list4_sent35_0001.wav,wabw4,69,Black,159
CM-subject2_list4_sent36_0001.wav,jikj4,70,Black,160
CM-subject2_list4_sent5_0001.wav,wudj4,71,Black,161
CM-subject2_list4_sent8_0001.wav,wubj4,72,Black,162
CM-subject2_list5_sent11_0001.wav,jibj5,90,Black,163
CM-subject2_list5_sent12_0001.wav,0idw5,74,Black,164
CM-subject2_list5_sent15_0001.wav,wubw5,75,Black,165
CM-subject2_list5_sent17_0001.wav,0ikw5,76,Black,166
CM-subject2_list5_sent2_0001.wav,jibw5,73,Black,167
CM-subject2_list5_sent20_0001.wav,wagw5,77,Black,168
CM-subject2_list5_sent21_0001.wav,0udw5,78,Black,169
CM-subject2_list5_sent22_0001.wav,wagj5,79,Black,170
CM-subject2_list5_sent23_0001.wav,wukj5,80,Black,171
CM-subject2_list5_sent27_0001.wav,0atj5,81,Black,172
CM-subject2_list5_sent3_0001.wav,watw5,82,Black,173
CM-subject2_list5_sent31_0001.wav,jukw5,83,Black,174
CM-subject2_list5_sent32_0001.wav,jidj5,84,Black,175
CM-subject2_list5_sent33_0001.wav,wabj5,85,Black,176
CM-subject2_list5_sent35_0001.wav,wabw5,86,Black,177
CM-subject2_list5_sent36_0001.wav,jikj5,87,Black,178
CM-subject2_list5_sent5_0001.wav,wudj5,88,Black,179
CM-subject2_list5_sent8_0001.wav,wubj5,89,Black,180
CM-subject4_list1_sent11_0001.wav,jibj1,1,Black,181
CM-subject4_list1_sent12_0001.wav,0idw1,2,Black,182
CM-subject4_list1_sent15_0001.wav,wubw1,3,Black,183
CM-subject4_list1_sent17_0001.wav,0ikw1,4,Black,184
CM-subject4_list1_sent2_0001.wav,jibw1,5,Black,185
CM-subject4_list1_sent20_0001.wav,wagw1,6,Black,186
CM-subject4_list1_sent21_0001.wav,0udw1,7,Black,187
CM-subject4_list1_sent22_0001.wav,wagj1,8,Black,188
CM-subject4_list1_sent23_0001.wav,wukj1,9,Black,189
CM-subject4_list1_sent27_0001.wav,0atj1,10,Black,190
CM-subject4_list1_sent3_0001.wav,watw1,11,Black,191
CM-subject4_list1_sent31_0001.wav,jukw1,12,Black,192
CM-subject4_list1_sent32_0001.wav,jidj1,13,Black,193
CM-subject4_list1_sent33_0001.wav,wabj1,14,Black,194
CM-subject4_list1_sent35_0001.wav,wabw1,15,Black,195
CM-subject4_list1_sent36_0001.wav,jikj1,16,Black,196
CM-subject4_list1_sent5_0001.wav,wudj1,17,Black,197
CM-subject4_list1_sent8_0001.wav,wubj1,18,Black,198
CM-subject4_list2_sent11_0001.wav,jibj2,19,Black,199
CM-subject4_list2_sent12_0001.wav,0idw2,20,Black,200
CM-subject4_list2_sent15_0001.wav,wubw2,21,Black,201
CM-subject4_list2_sent17_0001.wav,0ikw2,22,Black,202
CM-subject4_list2_sent2_0001.wav,jibw2,23,Black,203
CM-subject4_list2_sent20_0001.wav,wagw2,24,Black,204
CM-subject4_list2_sent21_0001.wav,0udw2,25,Black,205
CM-subject4_list2_sent22_0001.wav,wagj2,26,Black,206
CM-subject4_list2_sent23_0001.wav,wukj2,27,Black,207
CM-subject4_list2_sent27_0001.wav,0atj2,28,Black,208
CM-subject4_list2_sent3_0001.wav,watw2,29,Black,209
CM-subject4_list2_sent31_0001.wav,jukw2,30,Black,210
CM-subject4_list2_sent32_0001.wav,jidj2,31,Black,211
CM-subject4_list2_sent33_0001.wav,wabj2,32,Black,212
CM-subject4_list2_sent35_0001.wav,wabw2,33,Black,213
CM-subject4_list2_sent36_0001.wav,jikj2,34,Black,214
CM-subject4_list2_sent5_0001.wav,wudj2,35,Black,215
CM-subject4_list2_sent8_0001.wav,wubj2,36,Black,216
CM-subject4_list3_sent11_0001.wav,jibj3,37,Black,217
CM-subject4_list3_sent12_0001.wav,0idw3,38,Black,218
CM-subject4_list3_sent15_0001.wav,wubw3,39,Black,219
CM-subject4_list3_sent17_0001.wav,0ikw3,40,Black,220
CM-subject4_list3_sent2_0001.wav,jibw3,41,Black,221
CM-subject4_list3_sent20_0001.wav,wagw3,42,Black,222
CM-subject4_list3_sent21_0001.wav,0udw3,43,Black,223
CM-subject4_list3_sent22_0001.wav,wagj3,44,Black,224
CM-subject4_list3_sent23_0001.wav,wukj3,45,Black,225
CM-subject4_list3_sent27_0001.wav,0atj3,46,Black,226
CM-subject4_list3_sent3_0001.wav,watw3,47,Black,227
CM-subject4_list3_sent31_0001.wav,jukw3,48,Black,228
CM-subject4_list3_sent32_0001.wav,jidj3,49,Black,229
CM-subject4_list3_sent33_0001.wav,wabj3,50,Black,230
CM-subject4_list3_sent35_0001.wav,wabw3,51,Black,231
CM-subject4_list3_sent36_0001.wav,jikj3,52,Black,232
CM-subject4_list3_sent5_0001.wav,wudj3,53,Black,233
CM-subject4_list3_sent8_0001.wav,wubj3,54,Black,234
CM-subject4_list4_sent11_0001.wav,jibj4,55,Black,235
CM-subject4_list4_sent12_0001.wav,0idw4,56,Black,236
CM-subject4_list4_sent15_0001.wav,wubw4,57,Black,237
CM-subject4_list4_sent17_0001.wav,0ikw4,58,Black,238
CM-subject4_list4_sent2_0001.wav,jibw4,59,Black,239
CM-subject4_list4_sent20_0001.wav,wagw4,60,Black,240
CM-subject4_list4_sent21_0001.wav,0udw4,61,Black,241
CM-subject4_list4_sent22_0001.wav,wagj4,62,Black,242
CM-subject4_list4_sent23_0001.wav,wukj4,63,Black,243
