vowel.code	token.code	dur	step	stepSize	start.time	end.time	formant	freq	speaker
0idw1	0idw1-CM-subject1_list1_sent12	235.98	5	0.02145	1.203	1.224	F3	2871.73	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	6	0.02145	1.224	1.246	F1	390.55	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	6	0.02145	1.224	1.246	F2	2437.12	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	6	0.02145	1.224	1.246	F3	2884.92	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	7	0.02145	1.246	1.267	F1	411.08	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	7	0.02145	1.246	1.267	F2	2474.79	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	7	0.02145	1.246	1.267	F3	2967.53	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	8	0.02145	1.267	1.288	F1	409.99	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	8	0.02145	1.267	1.288	F2	2242.53	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	8	0.02145	1.267	1.288	F3	2971.58	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	9	0.02145	1.288	1.310	F1	447.66	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	9	0.02145	1.288	1.310	F2	2019.07	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	9	0.02145	1.288	1.310	F3	2968.79	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	10	0.02145	1.310	1.331	F1	482.21	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	10	0.02145	1.310	1.331	F2	1911.08	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	10	0.02145	1.310	1.331	F3	2910.95	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	11	0.02145	1.331	1.353	F1	457.79	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	11	0.02145	1.331	1.353	F2	1859.89	CM-subject1
0idw1	0idw1-CM-subject1_list1_sent12	235.98	11	0.02145	1.331	1.353	F3	2974.44	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	1	0.01561	0.982	0.998	F1	359.49	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	1	0.01561	0.982	0.998	F2	1261.23	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	1	0.01561	0.982	0.998	F3	2858.53	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	2	0.01561	0.998	1.013	F1	395.81	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	2	0.01561	0.998	1.013	F2	1256.57	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	2	0.01561	0.998	1.013	F3	2884.66	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	3	0.01561	1.013	1.029	F1	352.57	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	3	0.01561	1.013	1.029	F2	1151.34	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	3	0.01561	1.013	1.029	F3	2894.00	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	4	0.01561	1.029	1.044	F1	325.64	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	4	0.01561	1.029	1.044	F2	1073.22	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	4	0.01561	1.029	1.044	F3	2905.06	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	5	0.01561	1.044	1.060	F1	382.53	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	5	0.01561	1.044	1.060	F2	1081.39	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	5	0.01561	1.044	1.060	F3	2885.40	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	6	0.01561	1.060	1.076	F1	407.81	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	6	0.01561	1.060	1.076	F2	1029.64	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	6	0.01561	1.060	1.076	F3	2821.66	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	7	0.01561	1.076	1.091	F1	423.44	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	7	0.01561	1.076	1.091	F2	1160.39	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	7	0.01561	1.076	1.091	F3	2888.12	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	8	0.01561	1.091	1.107	F1	424.67	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	8	0.01561	1.091	1.107	F2	1778.95	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	8	0.01561	1.091	1.107	F3	2967.27	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	9	0.01561	1.107	1.122	F1	422.97	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	9	0.01561	1.107	1.122	F2	2062.88	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	9	0.01561	1.107	1.122	F3	3047.97	CM-subject1
wubw1	wubw1-CM-subject1_list1_sent15	171.70	10	0.01561	1.122	1.138	F1	419.54	CM-subject1
