segment	code	word	start.time	token.code	interval.num	step	step.size	seg.dur	pitch.Hz	pitch.ERB	mean.pitch.Hz	mean.pitch.ERB	min.pitch.Hz	min.pitch.ERB	max.pitch.Hz	max.pitch.ERB	pitch.range.min	pitch.range.max	speaker
ULT1	jch7úuk7-jch7úuk7-f-m	jch7u8uk7	678.472	S01-11	6	9	0.0193	173.879	282.131	6.9635	280.920	6.9404	249.026	6.3479	291.463	7.1307	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	1	0.0093	84.028	294.807	7.1887	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	2	0.0093	84.028	282.195	6.9647	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	3	0.0093	84.028	279.308	6.9125	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	4	0.0093	84.028	280.374	6.9318	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	5	0.0093	84.028	283.180	6.9825	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	6	0.0093	84.028	286.106	7.0351	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	7	0.0093	84.028	288.296	7.0743	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	8	0.0093	84.028	288.636	7.0804	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	1324.182	S01-12	10	9	0.0093	84.028	283.582	6.9896	285.165	7.0177	278.889	6.9049	303.857	7.3486	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	1	0.0112	100.834	299.402	7.2707	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	2	0.0112	100.834	294.557	7.1854	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	3	0.0112	100.834	288.562	7.0790	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	4	0.0112	100.834	285.495	7.0241	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	5	0.0112	100.834	280.868	6.9407	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	6	0.0112	100.834	277.102	6.8724	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	7	0.0112	100.834	276.364	6.8589	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	8	0.0112	100.834	275.735	6.8475	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-m	jte8lb7	1296.705	S01-13	10	9	0.0112	100.834	272.732	6.7925	283.424	6.9857	270.815	6.7572	303.386	7.3403	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	1	0.0077	69.429	299.341	7.2692	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	2	0.0077	69.429	286.961	7.0502	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	3	0.0077	69.429	279.106	6.9087	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	4	0.0077	69.429	273.575	6.8079	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	5	0.0077	69.429	269.429	6.7316	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	6	0.0077	69.429	269.095	6.7254	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	7	0.0077	69.429	267.273	6.6917	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	8	0.0077	69.429	270.382	6.7492	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7-f-l	jte8lb7	751.317	S01-14	9	9	0.0077	69.429	240.675	6.1301	272.871	6.7849	163.145	4.5495	306.446	7.3933	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	1	0.0103	92.253	289.724	7.0993	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	2	0.0103	92.253	278.845	6.9040	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	3	0.0103	92.253	269.558	6.7339	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	4	0.0103	92.253	264.048	6.6318	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	5	0.0103	92.253	263.795	6.6267	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	6	0.0103	92.253	269.709	6.7369	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	7	0.0103	92.253	NA	NA	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	8	0.0103	92.253	NA	NA	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	757.747	S01-15	9	9	0.0103	92.253	NA	NA	272.636	6.7890	258.217	6.5227	294.467	7.1839	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	1	0.0122	110.000	266.928	6.6854	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
EST1	jtéleb7-jtélb7VR-f-m	jte8lb7vr	980.000	S01-16	9	2	0.0122	110.000	263.675	6.6248	264.349	6.6373	260.377	6.5632	268.180	6.7086	148.9578	479.6016	S01
